epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
5,97.4313,1.33416,1.33722,1.10367,0.80111,0.43135,0.53203,0.33125,1.24813,1.38532,1.11732,9.208e-05,9.208e-05,9.208e-05
6,116.406,1.31193,1.31696,1.04393,0.67705,0.54465,0.60672,0.37941,1.18309,1.13325,1.06172,9.01e-05,9.01e-05,9.01e-05
7,137.385,1.34525,1.27901,1.03542,0.71623,0.58054,0.64247,0.39845,1.15599,0.96687,1.04136,8.812e-05,8.812e-05,8.812e-05
8,156.802,1.27224,1.111,1.03302,0.79328,0.60557,0.68634,0.41651,1.14686,0.91718,1.04287,8.614e-05,8.614e-05,8.614e-05
9,176.221,1.25358,1.11118,1.04481,0.78915,0.64598,0.70785,0.43846,1.13387,0.88494,1.03823,8.416e-05,8.416e-05,8.416e-05
10,195.376,1.22376,1.0145,1.02832,0.78609,0.64973,0.73081,0.45148,1.12027,0.87837,1.02308,8.218e-05,8.218e-05,8.218e-05
11,213.524,1.20641,0.99553,1.0199,0.81124,0.66618,0.75492,0.46924,1.09082,0.81653,1.00549,8.02e-05,8.02e-05,8.02e-05
12,233.095,1.21368,1.00479,1.02568,0.87416,0.64991,0.75801,0.4632,1.10285,0.80933,1.0049,7.822e-05,7.822e-05,7.822e-05
13,250.343,1.21378,0.97521,1.00378,0.84125,0.66065,0.7666,0.4792,1.08636,0.77126,1.00977,7.624e-05,7.624e-05,7.624e-05
14,269.719,1.18257,0.93901,0.99707,0.81184,0.68496,0.77892,0.4764,1.10231,0.75179,1.01712,7.426e-05,7.426e-05,7.426e-05
15,291.798,1.16381,0.90004,1.01583,0.86563,0.68963,0.78929,0.49267,1.08248,0.72228,0.99949,7.228e-05,7.228e-05,7.228e-05
16,310.94,1.16434,0.86797,0.99536,0.77646,0.74437,0.78927,0.49335,1.06777,0.74042,0.98666,7.03e-05,7.03e-05,7.03e-05
17,328.943,1.13642,0.84586,0.99753,0.83897,0.70841,0.79265,0.49024,1.0955,0.73408,0.99859,6.832e-05,6.832e-05,6.832e-05
18,347.499,1.17564,0.85644,0.98284,0.85842,0.69748,0.79394,0.49561,1.05869,0.69975,0.98359,6.634e-05,6.634e-05,6.634e-05
19,365.211,1.15453,0.83818,0.9886,0.81408,0.72974,0.79993,0.50196,1.06223,0.69519,0.98264,6.436e-05,6.436e-05,6.436e-05
20,383.899,1.16234,0.8471,1.00133,0.84689,0.72298,0.7995,0.50577,1.05751,0.68279,0.98574,6.238e-05,6.238e-05,6.238e-05
21,403.098,1.16719,0.83459,1.00672,0.81095,0.7357,0.80847,0.50633,1.05893,0.67502,0.97993,6.04e-05,6.04e-05,6.04e-05
22,420.52,1.14478,0.80738,0.98605,0.82928,0.74734,0.80943,0.51547,1.04268,0.67144,0.97741,5.842e-05,5.842e-05,5.842e-05
23,440.091,1.14612,0.84132,1.00342,0.81103,0.72959,0.80705,0.51361,1.0448,0.67569,0.96801,5.644e-05,5.644e-05,5.644e-05
24,458.588,1.1373,0.78485,0.97777,0.82815,0.75281,0.81916,0.51993,1.04729,0.65134,0.9686,5.446e-05,5.446e-05,5.446e-05
25,477.196,1.13695,0.81185,0.98395,0.85724,0.73728,0.80732,0.51352,1.04425,0.64912,0.97163,5.248e-05,5.248e-05,5.248e-05
26,495.749,1.10824,0.77826,0.99942,0.86142,0.73012,0.80701,0.51303,1.05451,0.65282,0.97657,5.05e-05,5.05e-05,5.05e-05
27,513.678,1.13271,0.7802,0.98333,0.86445,0.72638,0.82018,0.51708,1.03659,0.65248,0.96681,4.852e-05,4.852e-05,4.852e-05
28,532.62,1.09842,0.77674,0.97671,0.87428,0.73183,0.81483,0.51927,1.03703,0.64271,0.96441,4.654e-05,4.654e-05,4.654e-05
29,549.868,1.16421,0.77864,0.96801,0.88462,0.73023,0.81626,0.52201,1.03535,0.63292,0.96277,4.456e-05,4.456e-05,4.456e-05
30,568.094,1.12246,0.75923,0.96526,0.85652,0.75601,0.82406,0.52871,1.04318,0.63189,0.96559,4.258e-05,4.258e-05,4.258e-05
31,586.201,1.0669,0.72593,0.97053,0.86039,0.74327,0.81578,0.51617,1.0482,0.6319,0.96771,4.06e-05,4.06e-05,4.06e-05
32,604.369,1.12022,0.74731,0.9818,0.8516,0.74118,0.81898,0.5227,1.03248,0.62988,0.96554,3.862e-05,3.862e-05,3.862e-05
33,624.656,1.11606,0.74772,0.97854,0.85022,0.74349,0.82375,0.52142,1.03636,0.62897,0.96191,3.664e-05,3.664e-05,3.664e-05
34,642.109,1.09266,0.73067,0.98724,0.84112,0.7503,0.82634,0.53026,1.02534,0.6249,0.95812,3.466e-05,3.466e-05,3.466e-05
35,661.244,1.1087,0.73258,0.98122,0.83798,0.75056,0.82551,0.52816,1.02958,0.62702,0.95893,3.268e-05,3.268e-05,3.268e-05
36,678.889,1.13285,0.75342,0.95282,0.85197,0.74652,0.82338,0.51976,1.04311,0.61995,0.96019,3.07e-05,3.07e-05,3.07e-05
37,697.206,1.09776,0.74161,0.98782,0.83617,0.75111,0.82336,0.52841,1.0195,0.61347,0.95202,2.872e-05,2.872e-05,2.872e-05
38,716.958,1.0722,0.71822,0.97335,0.85072,0.75518,0.82921,0.52639,1.0348,0.61661,0.95758,2.674e-05,2.674e-05,2.674e-05
39,734.612,1.09866,0.74377,0.97208,0.85302,0.74586,0.82907,0.5298,1.02593,0.61457,0.95601,2.476e-05,2.476e-05,2.476e-05
40,753.302,1.08747,0.72042,0.95829,0.84628,0.75363,0.83186,0.53138,1.01503,0.60656,0.95157,2.278e-05,2.278e-05,2.278e-05
41,776.005,1.08032,0.73548,0.97308,0.86364,0.73329,0.82606,0.52537,1.03091,0.6254,0.96124,2.08e-05,2.08e-05,2.08e-05
42,793.997,1.0863,0.72619,0.96994,0.84209,0.75138,0.82586,0.52789,1.02987,0.60546,0.96031,1.882e-05,1.882e-05,1.882e-05
43,813.232,1.07576,0.71796,0.96601,0.84863,0.74387,0.82496,0.52668,1.02487,0.60643,0.95774,1.684e-05,1.684e-05,1.684e-05
44,830.629,1.04804,0.69482,0.95277,0.8398,0.7471,0.82551,0.52836,1.02279,0.60646,0.96187,1.486e-05,1.486e-05,1.486e-05
45,848.306,1.04688,0.68999,0.94027,0.84382,0.75109,0.82397,0.52567,1.0254,0.6084,0.9605,1.288e-05,1.288e-05,1.288e-05
46,866.144,1.04923,0.70261,0.94528,0.8597,0.74511,0.82735,0.52586,1.02943,0.60748,0.959,1.09e-05,1.09e-05,1.09e-05
47,883.651,1.06368,0.69429,0.96753,0.87282,0.73188,0.82627,0.52659,1.02671,0.60748,0.95879,8.92e-06,8.92e-06,8.92e-06
48,900.918,1.0534,0.69497,0.94587,0.86703,0.73164,0.8238,0.52399,1.02719,0.60427,0.95969,6.94e-06,6.94e-06,6.94e-06
49,919.39,1.04268,0.68833,0.95909,0.85996,0.74006,0.8243,0.52623,1.02066,0.60248,0.9582,4.96e-06,4.96e-06,4.96e-06
50,936.464,1.05083,0.68371,0.94905,0.85988,0.74059,0.82581,0.5292,1.01732,0.5997,0.95644,2.98e-06,2.98e-06,2.98e-06
1,19.9482,1.84429,3.49226,1.51656,0.0031,0.24651,0.03712,0.00929,2.35595,5.12528,1.97308,0.079021,2.1e-05,2.1e-05
2,37.9582,1.4331,2.0032,1.1671,0.12708,0.21318,0.19321,0.11181,1.79566,3.66978,1.6111,0.0570421,4.21486e-05,4.21486e-05
3,55.5719,1.35033,1.41689,1.1131,0.22644,0.47149,0.37467,0.23686,1.4317,3.17985,1.24382,0.0350624,6.2426e-05,6.2426e-05
4,72.7615,1.29453,1.28758,1.09506,0.65436,0.35412,0.45767,0.29269,1.31717,2.37359,1.1523,0.0130818,8.18322e-05,8.18322e-05
